Timestamp,True_X,True_Y,Est_X,Est_Y,Error,Dist_A1,NLOS_A1,Dist_A2,NLOS_A2,Dist_A3,NLOS_A3,Dist_A4,NLOS_A4
0.25,3.8,2.9,0.8118886985640023,-0.4798658184659563,4.511352579948067,2.6261086895180936,0,2.268623729732037,0,3.433282491461655,0,3.8110641630817823,0
0.49999999999999994,3.8,2.9,1.8622635076216487,-0.9316696195582707,4.293776285199379,2.9609453016970684,0,1.8953836327778806,0,3.2520243590428324,0,3.8110602448590796,0
0.7500000000000001,3.8,2.9,2.6035242290948264,-0.6781891832369821,3.772928849235998,2.4668614075510775,0,2.5313207915827967,0,2.8877103609984323,0,4.253080891521566,0
1.0000000000000002,3.8,2.9,3.07368405904583,-0.41059386755602567,3.3893312912702567,2.740276717644468,0,2.12126441626793,0,2.9163389366875903,0,3.9386797656038226,0
1.2500000000000004,3.8,2.9,3.3088311807341135,-0.31325498122446216,3.250577546126667,2.598852724159161,0,1.9043773482922897,0,3.1796677485005067,0,4.005607035012344,0
1.5000000000000007,3.8,2.9,3.5805499375858227,-0.32826396492545806,3.2357142267403383,3.0423758924457145,0,2.277311633184482,0,3.1031776681786765,0,3.770015792801198,0
1.7500000000000009,3.8,2.9,3.7037948745985934,-0.23907062823964942,3.1405445125376534,2.4326104342561496,0,2.30850199443579,0,3.12680638278647,0,3.726497322818716,0
2.000000000000001,3.8,2.9,3.7666395631463727,-0.14629049403417976,3.0464731564203995,2.952247460447647,0,2.0386359696892318,0,3.116234236219723,0,3.855043292998818,0
2.25,3.8,2.9,3.7241622087520945,-0.05930923720884481,2.9602808197890544,2.627495452323092,0,2.133841236422563,0,2.9018938792093447,0,4.231020872930886,0
2.499999999999999,3.8,2.9,3.7011139451973043,0.004084284441813281,2.897603541454787,2.66723934614248,0,2.5313207915827967,0,2.977348402808165,0,3.5360340461655566,0
2.7499999999999982,3.8,2.9,3.7553139304237395,0.049203750048034546,2.851146454245092,2.7068456697589656,0,2.1027730540413816,0,3.306172742820419,0,4.104318007291982,0
2.9999999999999973,3.8,2.9,3.744955229678355,0.11460263138105348,2.7859412104079144,2.6552495126606512,0,2.2292516106638995,0,3.1641380735849265,0,3.886873016954997,0
3.2499999999999964,3.8,2.9,3.7231781329897475,0.17235682110464037,2.728724777368601,2.645125062452218,0,2.2729328738089563,0,3.164837775747011,0,4.088208409125603,0
3.4999999999999956,3.8,2.9,3.7322731799267266,0.20786100093514556,2.6929907746672943,2.4122254587659304,0,2.5313207915827967,0,3.227907391337695,0,3.7233807295333747,0
3.7499999999999947,3.8,2.9,3.7757847875026735,0.24374573646301564,2.6563646378226573,2.634473730518039,0,2.246538611802935,0,3.1801830627872834,0,3.788084060620962,0
3.999999999999994,3.8,2.9,3.8806843479911595,0.2505890157846248,2.650639267665791,3.0052114505536065,0,1.9545112172684755,0,3.2931388396724803,0,3.804187744170863,0
4.249999999999993,3.8,2.9,3.9190287774414765,0.2762023077747716,2.626496179244441,3.041580390281793,0,2.155316750491763,0,3.461310599165128,0,4.253080891521566,0
4.499999999999992,3.8,2.9,3.919109010428195,0.313903226176822,2.588838249088543,2.7697601995954315,0,1.8679334742225415,0,2.8122858360676446,0,3.817329795391922,0
4.749999999999991,3.8,2.9,3.903108892476236,0.3432971577672249,2.5587811292075817,2.440197808720585,0,2.3225872076252356,0,3.0292195284433676,0,3.9609971946657705,0
4.99999999999999,3.8,2.9,3.9654893388113783,0.3687029427471829,2.5367009112855614,2.9040070066095223,0,2.5313207915827967,0,2.9410844400875797,0,3.9603324781495606,0
5.249999999999989,3.8,2.9,3.980924997511962,0.4484751633182409,2.4581919940460772,3.0423758924457145,0,1.8288618756609725,0,3.4848743473503316,0,3.8683981589163996,0
5.4999999999999885,3.8,2.9,3.937737582349353,0.5423576561984932,2.3616623515814674,2.572625171726507,0,2.246957561535325,0,3.0885452170796386,0,4.253080891521566,0
5.749999999999988,3.8,2.9,3.9510242448141746,0.6623097732188168,2.242780834935441,2.6276028327305467,0,2.256697134950313,0,3.2240335398916296,0,3.925467456996048,0
5.999999999999987,3.8,2.9,4.054959068166475,0.8224965950662961,2.0930897075738177,3.0423758924457145,0,2.063034561419313,0,3.077656031056559,0,3.70998022512524,0
6.249999999999986,3.8,2.9,4.1790361098202125,1.0741618379350193,1.8647663034816098,2.6273900277535374,0,2.5313207915827967,0,2.790665041409524,0,3.8506847130858106,0
6.499999999999985,3.8,2.9,4.26492576101974,1.5049712338167447,1.4704629276994916,2.548870106122398,0,2.2074668843582637,0,3.0781651750410766,0,3.9356281629353873,0
6.749999999999984,3.8,2.9,4.36325420394418,2.104558834258016,0.9746701731446176,2.574158335720982,0,2.038305100710648,0,2.9002359075574935,0,3.6995497521160505,0
6.999999999999983,3.8,2.9,4.3087255912463585,2.565863370985041,0.6086452283871429,2.8547303119670984,0,2.480039085069778,0,3.0415712607876175,0,3.765644088580805,0
