timestamp,x,y,z
0.000000,2.377960,4.723389,0.000000
0.020000,2.377960,4.723389,0.000000
0.040000,2.377960,4.529639,0.000000
0.060000,2.442544,4.142139,0.000000
0.080000,2.474835,3.754639,0.000000
0.100000,2.474835,3.464014,0.000000
0.120000,2.507127,3.302555,0.000000
0.140000,2.507127,3.173389,0.000000
0.160000,2.507127,3.141097,0.000000
0.180000,2.507127,3.076514,0.000000
0.200000,2.507127,2.979639,0.000000
0.220000,2.507127,2.785889,0.000000
0.240000,2.507127,2.656722,0.000000
0.260000,2.507127,2.559847,0.000000
0.280000,2.507127,2.462972,0.000000
0.300000,2.507127,2.430680,0.000000
0.320000,2.507127,2.366097,0.000000
0.340000,2.507127,2.269222,0.000000
0.360000,2.507127,2.236930,0.000000
0.380000,2.539419,2.140055,0.000000
0.400000,2.571710,2.140055,0.000000
0.420000,2.797752,2.140055,0.000000
0.440000,3.120669,2.140055,0.000000
0.460000,3.831085,2.172347,0.000000
0.480000,4.283169,2.269222,0.000000
0.500000,4.412335,2.269222,0.000000
0.520000,4.509210,2.269222,0.000000
0.540000,4.541502,2.269222,0.000000
0.560000,4.573794,2.269222,0.000000
0.580000,4.573794,2.301514,0.000000
0.600000,4.573794,2.333805,0.000000
0.620000,4.573794,2.462972,0.000000
0.640000,4.573794,2.656722,0.000000
0.660000,4.573794,2.947347,0.000000
0.680000,4.573794,3.367139,0.000000
0.700000,4.573794,3.496305,0.000000
0.720000,4.573794,3.819222,0.000000
0.740000,4.606086,4.077555,0.000000
0.760000,4.606086,4.174430,0.000000
0.780000,4.606086,4.271305,0.000000
0.800000,4.509210,4.303597,0.000000
0.820000,4.412335,4.303597,0.000000
0.840000,4.347752,4.335889,0.000000
0.860000,4.283169,4.335889,0.000000
0.880000,4.250877,4.335889,0.000000
0.900000,4.250877,4.271305,0.000000
0.920000,4.250877,4.142139,0.000000
0.940000,4.283169,4.012972,0.000000
0.960000,4.315460,3.786930,0.000000
0.980000,4.380044,3.625472,0.000000
1.000000,4.412335,3.464014,0.000000
1.020000,4.412335,3.431722,0.000000
1.040000,4.412335,3.367139,0.000000
1.060000,4.380044,3.367139,0.000000
1.080000,4.283169,3.367139,0.000000
1.100000,4.154002,3.367139,0.000000
1.120000,4.057127,3.367139,0.000000
1.140000,3.992544,3.367139,0.000000
1.160000,3.960252,3.367139,0.000000
1.180000,3.960252,3.399430,0.000000
1.200000,3.927960,3.528597,0.000000
1.220000,3.863377,3.690055,0.000000
1.240000,3.798794,3.883805,0.000000
1.260000,3.766502,4.012972,0.000000
1.280000,3.734210,4.142139,0.000000
1.300000,3.701919,4.206722,0.000000
1.320000,3.701919,4.239014,0.000000
1.340000,3.701919,4.271305,0.000000
1.360000,3.701919,4.303597,0.000000
