timestamp,x,y,z
0.000000,4.114901,2.365852,0.000000
0.020000,4.089839,2.487299,0.000000
0.040000,4.045320,2.506193,0.000000
0.060000,4.100217,2.607847,0.000000
0.080000,4.057649,2.672708,0.000000
0.100000,4.087825,2.714065,0.000000
0.120000,4.138488,2.742242,0.000000
0.140000,4.097100,2.854374,0.000000
0.160000,4.117432,2.952270,0.000000
0.180000,4.101386,2.972071,0.000000
0.200000,4.142798,3.079261,0.000000
0.220000,4.072131,3.114884,0.000000
0.240000,4.037402,3.232542,0.000000
0.260000,4.021677,3.312070,0.000000
0.280000,4.058690,3.363629,0.000000
0.300000,4.089387,3.499524,0.000000
0.320000,4.136225,3.483796,0.000000
0.340000,4.177804,3.550469,0.000000
0.360000,4.156983,3.599866,0.000000
0.380000,4.090691,3.736118,0.000000
0.400000,4.122789,3.806903,0.000000
0.420000,4.069380,3.864274,0.000000
0.440000,4.013848,3.923249,0.000000
0.460000,4.048811,4.048089,0.000000
0.480000,4.094975,4.035009,0.000000
0.500000,4.125745,4.147865,0.000000
0.520000,4.124490,4.249277,0.000000
0.540000,4.191036,4.330366,0.000000
0.560000,4.131123,4.364645,0.000000
0.580000,4.145102,4.474673,0.000000
0.600000,4.090847,4.511313,0.000000
0.620000,4.045239,4.552464,0.000000
0.640000,4.089899,4.700495,0.000000
0.660000,4.069702,4.761362,0.000000
0.680000,4.106188,4.783341,0.000000
0.700000,4.138041,4.920264,0.000000
0.720000,4.154369,4.992481,0.000000
0.740000,4.090893,5.041606,0.000000
0.760000,4.166871,5.079375,0.000000
0.780000,4.144947,5.100103,0.000000
0.800000,4.105672,5.241818,0.000000
0.820000,4.130837,5.286918,0.000000
0.840000,4.051079,5.358763,0.000000
0.860000,4.110989,5.455016,0.000000
0.880000,4.092441,5.531877,0.000000
0.900000,4.143478,5.616850,0.000000
0.920000,4.147092,5.649260,0.000000
0.940000,4.169080,5.686471,0.000000
0.960000,4.183052,5.809480,0.000000
0.980000,4.151345,5.865869,0.000000
1.000000,4.078848,5.931532,0.000000
