timestamp,x,y,z
0.000000,2.554000,4.664000,0.000000
0.020000,2.554000,4.594000,0.000000
0.040000,2.554000,4.524000,0.000000
0.060000,2.554000,4.454000,0.000000
0.080000,2.554000,4.384000,0.000000
0.100000,2.554000,4.314000,0.000000
0.120000,2.554000,4.244000,0.000000
0.140000,2.554000,4.174000,0.000000
0.160000,2.554000,4.104000,0.000000
0.180000,2.554000,4.034000,0.000000
0.200000,2.554000,3.964000,0.000000
0.220000,2.554000,3.894000,0.000000
0.240000,2.554000,3.824000,0.000000
0.260000,2.554000,3.754000,0.000000
0.280000,2.554000,3.684000,0.000000
0.300000,2.554000,3.614000,0.000000
0.320000,2.554000,3.544000,0.000000
0.340000,2.554000,3.474000,0.000000
0.360000,2.554000,3.404000,0.000000
0.380000,2.554000,3.334000,0.000000
0.400000,2.554000,3.264000,0.000000
0.420000,2.554000,3.194000,0.000000
0.440000,2.554000,3.124000,0.000000
0.460000,2.554000,3.054000,0.000000
0.480000,2.554000,2.984000,0.000000
0.500000,2.554000,2.914000,0.000000
0.520000,2.554000,2.844000,0.000000
0.540000,2.554000,2.774000,0.000000
0.560000,2.554000,2.704000,0.000000
0.580000,2.554000,2.634000,0.000000
0.600000,2.554000,2.564000,0.000000
0.620000,2.554000,2.494000,0.000000
0.640000,2.554000,2.424000,0.000000
0.660000,2.554000,2.354000,0.000000
0.680000,2.554000,2.284000,0.000000
0.700000,2.554000,2.214000,0.000000
0.720000,2.554000,2.144000,0.000000
0.740000,2.554000,2.074000,0.000000
0.760000,2.554000,2.004000,0.000000
0.780000,2.554000,1.972000,0.000000
