timestamp,x,y,z
0.000000,-0.093542,1.751993,0.000000
0.020000,-0.237587,2.328174,0.000000
0.040000,-0.237587,2.760309,0.000000
0.060000,-0.381633,3.048400,0.000000
0.080000,-0.381633,3.336491,0.000000
0.100000,-0.381633,3.624581,0.000000
0.120000,-0.381633,3.768626,0.000000
0.140000,-0.525678,4.056717,0.000000
0.160000,-0.525678,4.344807,0.000000
0.180000,-0.669723,4.488853,0.000000
0.200000,-0.669723,4.632898,0.000000
0.220000,-0.669723,4.776943,0.000000
0.240000,-0.669723,4.920988,0.000000
0.260000,-0.669723,5.209079,0.000000
0.280000,-0.669723,5.353124,0.000000
0.300000,-0.669723,5.497169,0.000000
0.320000,-0.669723,5.641215,0.000000
0.340000,-0.813769,5.929305,0.000000
0.360000,-0.813769,6.217396,0.000000
0.380000,-0.813769,6.361441,0.000000
0.400000,-0.813769,6.649532,0.000000
0.420000,-0.813769,6.793577,0.000000
0.440000,-0.813769,6.937622,0.000000
0.460000,-0.813769,7.081667,0.000000
0.480000,-0.813769,7.225713,0.000000
0.500000,-0.957814,7.225713,0.000000
0.520000,-1.101859,7.225713,0.000000
0.540000,-1.245904,7.225713,0.000000
0.560000,-1.533995,7.225713,0.000000
0.580000,-1.966131,7.225713,0.000000
0.600000,-2.542312,7.369758,0.000000
0.620000,-2.686357,7.513803,0.000000
0.640000,-2.974447,7.513803,0.000000
0.660000,-3.118493,7.513803,0.000000
0.680000,-3.406583,7.513803,0.000000
0.700000,-3.550628,7.657848,0.000000
0.720000,-3.694674,7.657848,0.000000
0.740000,-3.838719,7.657848,0.000000
0.760000,-4.126810,7.657848,0.000000
0.780000,-4.270855,7.657848,0.000000
0.800000,-4.414900,7.801894,0.000000
0.820000,-4.558945,7.801894,0.000000
0.840000,-4.847036,7.945939,0.000000
0.860000,-4.991081,7.945939,0.000000
0.880000,-5.135126,7.945939,0.000000
0.900000,-5.135126,8.089984,0.000000
0.920000,-5.279172,8.089984,0.000000
0.940000,-5.423217,8.234029,0.000000
0.960000,-5.567262,8.378075,0.000000
0.980000,-5.567262,8.522120,0.000000
1.000000,-5.711307,8.666165,0.000000
1.020000,-5.855353,8.666165,0.000000
1.040000,-5.855353,8.954256,0.000000
1.060000,-5.999398,9.098301,0.000000
1.080000,-5.999398,9.242346,0.000000
1.100000,-5.999398,9.386392,0.000000
1.120000,-6.143443,9.386392,0.000000
1.140000,-6.143443,9.674482,0.000000
1.160000,-6.143443,9.818527,0.000000
1.180000,-6.143443,9.962573,0.000000
1.200000,-6.143443,10.106618,0.000000
1.220000,-6.143443,10.250663,0.000000
1.240000,-6.143443,10.394708,0.000000
1.260000,-6.143443,10.538754,0.000000
1.280000,-6.143443,10.682799,0.000000
1.300000,-6.143443,10.826844,0.000000
1.320000,-6.143443,10.970889,0.000000
1.340000,-6.143443,11.114935,0.000000
1.360000,-6.143443,11.258980,0.000000
1.380000,-6.143443,11.403025,0.000000
1.400000,-6.143443,11.547070,0.000000
1.420000,-6.143443,11.691116,0.000000
1.440000,-6.143443,11.835161,0.000000
1.460000,-6.143443,11.979206,0.000000
1.480000,-6.143443,12.123251,0.000000
1.500000,-6.143443,12.267297,0.000000
1.520000,-6.143443,12.411342,0.000000
1.540000,-6.143443,12.555387,0.000000
1.560000,-6.143443,12.699433,0.000000
1.580000,-6.143443,12.843478,0.000000
1.600000,-6.143443,12.987523,0.000000
1.620000,-6.143443,13.131568,0.000000
1.640000,-6.143443,13.275614,0.000000
1.660000,-6.143443,13.419659,0.000000
1.680000,-6.143443,13.563704,0.000000
1.700000,-6.143443,13.707749,0.000000
1.720000,-6.287488,13.707749,0.000000
1.740000,-6.431534,13.707749,0.000000
1.760000,-6.575579,13.707749,0.000000
1.780000,-6.575579,13.851795,0.000000
1.800000,-6.575579,13.995840,0.000000
1.820000,-6.575579,14.139885,0.000000
1.840000,-6.575579,14.427976,0.000000
1.860000,-6.575579,14.572021,0.000000
1.880000,-6.575579,14.716066,0.000000
1.900000,-6.575579,14.860111,0.000000
1.920000,-6.575579,15.148202,0.000000
1.940000,-6.431534,15.292247,0.000000
1.960000,-6.431534,15.436293,0.000000
1.980000,-6.287488,15.436293,0.000000
2.000000,-6.287488,15.580338,0.000000
2.020000,-6.143443,15.580338,0.000000
2.040000,-6.143443,15.724383,0.000000
2.060000,-5.999398,15.724383,0.000000
2.080000,-5.999398,15.868428,0.000000
2.100000,-5.999398,16.012474,0.000000
2.120000,-5.855353,16.012474,0.000000
2.140000,-5.855353,16.156519,0.000000
2.160000,-5.711307,16.156519,0.000000
2.180000,-5.711307,16.300564,0.000000
2.200000,-5.711307,16.444609,0.000000
2.220000,-5.567262,16.444609,0.000000
2.240000,-5.567262,16.588655,0.000000
2.260000,-5.423217,16.732700,0.000000
2.280000,-5.279172,16.876745,0.000000
2.300000,-5.279172,17.020790,0.000000
2.320000,-5.279172,17.164836,0.000000
2.340000,-5.279172,17.308881,0.000000
2.360000,-5.135126,17.452926,0.000000
2.380000,-5.135126,17.596971,0.000000
2.400000,-4.991081,17.741017,0.000000
2.420000,-4.991081,17.885062,0.000000
2.440000,-4.991081,18.029107,0.000000
2.460000,-4.991081,18.173152,0.000000
2.480000,-4.847036,18.173152,0.000000
2.500000,-4.847036,18.461243,0.000000
2.520000,-4.702991,18.605288,0.000000
2.540000,-4.702991,18.893379,0.000000
2.560000,-4.558945,19.181469,0.000000
2.580000,-4.558945,19.325515,0.000000
2.600000,-4.558945,19.469560,0.000000
2.620000,-4.414900,19.469560,0.000000
2.640000,-4.414900,19.757650,0.000000
2.660000,-4.270855,19.757650,0.000000
2.680000,-4.270855,20.045741,0.000000
2.700000,-4.126810,20.045741,0.000000
2.720000,-4.126810,20.189786,0.000000
2.740000,-3.982764,20.333831,0.000000
2.760000,-3.838719,20.477877,0.000000
2.780000,-3.694674,20.477877,0.000000
2.800000,-3.550628,20.765967,0.000000
2.820000,-3.262538,20.765967,0.000000
2.840000,-3.118493,20.765967,0.000000
2.860000,-2.830402,20.910012,0.000000
2.880000,-2.542312,21.054058,0.000000
2.900000,-2.254221,21.198103,0.000000
2.920000,-1.966131,21.198103,0.000000
2.940000,-1.822085,21.198103,0.000000
2.960000,-1.678040,21.198103,0.000000
2.980000,-1.678040,21.342148,0.000000
3.000000,-1.389950,21.342148,0.000000
3.020000,-1.245904,21.342148,0.000000
3.040000,-0.957814,21.342148,0.000000
3.060000,-0.813769,21.342148,0.000000
3.080000,-0.381633,21.342148,0.000000
3.100000,-0.237587,21.342148,0.000000
3.120000,-0.093542,21.342148,0.000000
3.140000,0.194548,21.342148,0.000000
3.160000,0.338594,21.342148,0.000000
3.180000,0.626684,21.342148,0.000000
3.200000,0.914775,21.342148,0.000000
3.220000,1.058820,21.342148,0.000000
3.240000,1.202865,21.342148,0.000000
3.260000,1.346910,21.342148,0.000000
3.280000,1.779046,21.342148,0.000000
3.300000,2.067137,21.342148,0.000000
