timestamp,x,y,z
0.000000,-7.312342,1.999257,0.000000
0.010000,-7.280043,1.934660,0.000000
0.020000,-7.247744,1.902361,0.000000
0.030000,-7.183147,1.870062,0.000000
0.040000,-7.150848,1.837763,0.000000
0.050000,-7.086251,1.773166,0.000000
0.060000,-7.053952,1.773166,0.000000
0.070000,-7.021653,1.708568,0.000000
0.080000,-6.989354,1.676270,0.000000
0.090000,-6.957056,1.643971,0.000000
0.100000,-6.957056,1.611672,0.000000
0.110000,-6.924757,1.611672,0.000000
0.120000,-6.924757,1.579373,0.000000
0.130000,-6.892458,1.547074,0.000000
0.140000,-6.860159,1.514776,0.000000
0.150000,-6.827860,1.482477,0.000000
0.160000,-6.730964,1.385581,0.000000
0.170000,-6.730964,1.320983,0.000000
0.180000,-6.666367,1.288684,0.000000
0.190000,-6.601769,1.224087,0.000000
0.200000,-6.569470,1.159489,0.000000
0.210000,-6.569470,1.127190,0.000000
0.220000,-6.537171,1.094892,0.000000
0.230000,-6.504873,1.094892,0.000000
0.240000,-6.504873,1.062593,0.000000
0.250000,-6.472574,1.030294,0.000000
0.260000,-6.440275,0.997995,0.000000
0.270000,-6.407976,0.997995,0.000000
0.280000,-6.407976,0.933398,0.000000
0.290000,-6.343379,0.901099,0.000000
0.300000,-6.343379,0.868800,0.000000
0.310000,-6.278781,0.836501,0.000000
0.320000,-6.246483,0.739605,0.000000
0.330000,-6.181885,0.707306,0.000000
0.340000,-6.149586,0.675008,0.000000
0.350000,-6.117287,0.610410,0.000000
0.360000,-6.084989,0.578111,0.000000
0.370000,-6.052690,0.513514,0.000000
0.380000,-6.020391,0.513514,0.000000
0.390000,-6.020391,0.416617,0.000000
0.400000,-5.955794,0.416617,0.000000
0.410000,-5.923495,0.352020,0.000000
0.420000,-5.923495,0.319721,0.000000
0.430000,-5.858897,0.287422,0.000000
0.440000,-5.826599,0.222825,0.000000
0.450000,-5.762001,0.158227,0.000000
0.460000,-5.729702,0.093630,0.000000
0.470000,-5.697403,0.029032,0.000000
0.480000,-5.632806,-0.035565,0.000000
0.490000,-5.568208,-0.132462,0.000000
0.500000,-5.471312,-0.229358,0.000000
0.510000,-5.374416,-0.358553,0.000000
0.520000,-5.342117,-0.390852,0.000000
0.530000,-5.309818,-0.390852,0.000000
0.540000,-5.309818,-0.423151,0.000000
0.550000,-5.277519,-0.455449,0.000000
0.560000,-5.212922,-0.552346,0.000000
0.570000,-5.116026,-0.649242,0.000000
0.580000,-4.986830,-0.778437,0.000000
0.590000,-4.889934,-0.939931,0.000000
0.600000,-4.825337,-1.004529,0.000000
0.610000,-4.793038,-1.036827,0.000000
0.620000,-4.760739,-1.069126,0.000000
0.630000,-4.728440,-1.133724,0.000000
0.640000,-4.728440,-1.166022,0.000000
0.650000,-4.696142,-1.230620,0.000000
0.660000,-4.663843,-1.295217,0.000000
0.670000,-4.663843,-1.359815,0.000000
0.680000,-4.631544,-1.424413,0.000000
0.690000,-4.599245,-1.489010,0.000000
0.700000,-4.566946,-1.521309,0.000000
0.710000,-4.566946,-1.553608,0.000000
0.720000,-4.566946,-1.585906,0.000000
0.730000,-4.566946,-1.618205,0.000000
0.740000,-4.566946,-1.682803,0.000000
0.750000,-4.599245,-1.715101,0.000000
0.760000,-4.599245,-1.779699,0.000000
0.770000,-4.599245,-1.811998,0.000000
0.780000,-4.696142,-1.844297,0.000000
0.790000,-4.793038,-1.941193,0.000000
0.800000,-4.954532,-2.005790,0.000000
0.810000,-5.051428,-2.102687,0.000000
0.820000,-5.212922,-2.199583,0.000000
0.830000,-5.309818,-2.264181,0.000000
0.840000,-5.374416,-2.361077,0.000000
0.850000,-5.439013,-2.361077,0.000000
0.860000,-5.503611,-2.393376,0.000000
0.870000,-5.503611,-2.425674,0.000000
0.880000,-5.535910,-2.425674,0.000000
0.890000,-5.665105,-2.425674,0.000000
0.900000,-5.729702,-2.425674,0.000000
0.910000,-5.794300,-2.425674,0.000000
0.920000,-5.891196,-2.393376,0.000000
0.930000,-5.923495,-2.393376,0.000000
0.940000,-5.988092,-2.361077,0.000000
0.950000,-6.052690,-2.296479,0.000000
0.960000,-6.084989,-2.264181,0.000000
0.970000,-6.117287,-2.231882,0.000000
0.980000,-6.181885,-2.231882,0.000000
0.990000,-6.246483,-2.167284,0.000000
1.000000,-6.311080,-2.134986,0.000000
1.010000,-6.343379,-2.070388,0.000000
1.020000,-6.440275,-1.973492,0.000000
1.030000,-6.504873,-1.908894,0.000000
1.040000,-6.537171,-1.876595,0.000000
1.050000,-6.634068,-1.811998,0.000000
1.060000,-6.666367,-1.747400,0.000000
1.070000,-6.730964,-1.682803,0.000000
1.080000,-6.827860,-1.618205,0.000000
1.090000,-6.860159,-1.553608,0.000000
1.100000,-6.924757,-1.489010,0.000000
1.110000,-6.957056,-1.456711,0.000000
1.120000,-6.989354,-1.456711,0.000000
1.130000,-6.989354,-1.392114,0.000000
1.140000,-7.021653,-1.359815,0.000000
1.150000,-7.053952,-1.295217,0.000000
1.160000,-7.086251,-1.295217,0.000000
1.170000,-7.150848,-1.230620,0.000000
1.180000,-7.183147,-1.198321,0.000000
1.190000,-7.247744,-1.133724,0.000000
1.200000,-7.280043,-1.069126,0.000000
1.210000,-7.312342,-1.004529,0.000000
1.220000,-7.409238,-0.939931,0.000000
1.230000,-7.441537,-0.907632,0.000000
1.240000,-7.538433,-0.843035,0.000000
1.250000,-7.570732,-0.810736,0.000000
1.260000,-7.603031,-0.778437,0.000000
1.270000,-7.603031,-0.746138,0.000000
1.280000,-7.667629,-0.713840,0.000000
1.290000,-7.699927,-0.713840,0.000000
1.300000,-7.893720,-0.713840,0.000000
1.310000,-7.926019,-0.713840,0.000000
1.320000,-7.990616,-0.713840,0.000000
