timestamp,x,y,z
0.000000,2.558628,4.611439,0.000000
0.020000,2.579740,4.556564,0.000000
0.040000,2.588783,4.475934,0.000000
0.060000,2.573512,4.393278,0.000000
0.080000,2.573211,4.313133,0.000000
0.100000,2.584848,4.234603,0.000000
0.120000,2.593203,4.170633,0.000000
0.140000,2.600458,4.112580,0.000000
0.160000,2.606334,4.036618,0.000000
0.180000,2.585872,3.969557,0.000000
0.200000,2.585632,3.907710,0.000000
0.220000,2.581066,3.846787,0.000000
0.240000,2.573079,3.763816,0.000000
0.260000,2.570539,3.692750,0.000000
0.280000,2.554833,3.629746,0.000000
0.300000,2.533240,3.554297,0.000000
0.320000,2.532383,3.506765,0.000000
0.340000,2.526512,3.443178,0.000000
0.360000,2.501232,3.374330,0.000000
0.380000,2.491356,3.288501,0.000000
0.400000,2.504607,3.217448,0.000000
0.420000,2.519338,3.148332,0.000000
0.440000,2.532748,3.076201,0.000000
0.460000,2.534482,2.984779,0.000000
0.480000,2.541273,2.909224,0.000000
0.500000,2.548849,2.837233,0.000000
0.520000,2.582674,2.768432,0.000000
0.540000,2.580261,2.691534,0.000000
0.560000,2.592102,2.617505,0.000000
0.580000,2.594571,2.552979,0.000000
0.600000,2.602156,2.472627,0.000000
0.620000,2.604992,2.393625,0.000000
0.640000,2.587046,2.312800,0.000000
0.660000,2.568350,2.245562,0.000000
0.680000,2.556451,2.163277,0.000000
0.700000,2.536820,2.096425,0.000000
0.720000,2.524345,2.014826,0.000000
0.740000,2.521355,1.968578,0.000000
0.760000,2.550600,1.973161,0.000000
